This file contains energy of the Grid at certain points in the simulation.
Energy | Step_Number
-2969 | 0
-2959 | 100
-2963 | 200
-2959 | 300
-2963 | 400
-2959 | 500
-2961 | 600
-2961 | 700
-2959 | 800
-2959 | 900
-2959 | 1000
-2961 | 1100
-2965 | 1200
-2961 | 1300
-2959 | 1400
-2963 | 1500
-2961 | 1600
-2963 | 1700
-2963 | 1800
-2963 | 1900
-2959 | 2000
-2963 | 2100
-2959 | 2200
-2959 | 2300
-2959 | 2400
-2961 | 2500
-2963 | 2600
-2959 | 2700
-2959 | 2800
-2963 | 2900
-2961 | 3000
-2965 | 3100
-2963 | 3200
-2959 | 3300
-2963 | 3400
-2959 | 3500
-2965 | 3600
-2959 | 3700
-2961 | 3800
-2961 | 3900
-2959 | 4000
-2961 | 4100
-2963 | 4200
-2965 | 4300
-2963 | 4400
-2963 | 4500
-2965 | 4600
-2963 | 4700
-2959 | 4800
-2959 | 4900
-2963 | 5000
-2963 | 5100
-2963 | 5200
-2959 | 5300
-2961 | 5400
-2963 | 5500
-2965 | 5600
-2963 | 5700
-2959 | 5800
-2965 | 5900
-2965 | 6000
-2965 | 6100
-2963 | 6200
-2961 | 6300
-2963 | 6400
-2961 | 6500
-2959 | 6600
-2963 | 6700
-2961 | 6800
-2961 | 6900
-2959 | 7000
-2959 | 7100
-2959 | 7200
-2965 | 7300
-2965 | 7400
-2959 | 7500
-2963 | 7600
-2961 | 7700
-2963 | 7800
-2959 | 7900
-2963 | 8000
-2959 | 8100
-2959 | 8200
-2961 | 8300
-2963 | 8400
-2961 | 8500
-2963 | 8600
-2963 | 8700
-2963 | 8800
-2963 | 8900
-2959 | 9000
-2961 | 9100
-2963 | 9200
-2965 | 9300
-2961 | 9400
-2961 | 9500
-2969 | 9600
-2963 | 9700
-2963 | 9800
-2965 | 9900
-2969 | 10000
-2959 | 10100
-2961 | 10200
-2961 | 10300
-2961 | 10400
-2961 | 10500
-2963 | 10600
-2963 | 10700
-2961 | 10800
-2961 | 10900
-2961 | 11000
-2959 | 11100
-2961 | 11200
-2959 | 11300
-2961 | 11400
-2965 | 11500
-2963 | 11600
-2961 | 11700
-2965 | 11800
-2961 | 11900
-2959 | 12000
-2959 | 12100
-2959 | 12200
-2961 | 12300
-2963 | 12400
-2961 | 12500
-2961 | 12600
-2963 | 12700
-2963 | 12800
-2965 | 12900
-2961 | 13000
-2963 | 13100
-2965 | 13200
-2961 | 13300
-2965 | 13400
-2961 | 13500
-2965 | 13600
-2963 | 13700
-2959 | 13800
-2965 | 13900
-2961 | 14000
-2965 | 14100
-2961 | 14200
-2959 | 14300
-2965 | 14400
-2963 | 14500
-2965 | 14600
-2961 | 14700
-2961 | 14800
-2965 | 14900
-2959 | 15000
-2965 | 15100
-2963 | 15200
-2965 | 15300
-2961 | 15400
-2965 | 15500
-2963 | 15600
-2963 | 15700
-2959 | 15800
-2965 | 15900
-2961 | 16000
-2963 | 16100
-2965 | 16200
-2963 | 16300
-2959 | 16400
-2969 | 16500
-2959 | 16600
-2959 | 16700
-2963 | 16800
-2959 | 16900
-2959 | 17000
-2959 | 17100
-2965 | 17200
-2961 | 17300
-2959 | 17400
-2965 | 17500
-2959 | 17600
-2961 | 17700
-2961 | 17800
-2965 | 17900
-2963 | 18000
-2959 | 18100
-2959 | 18200
-2965 | 18300
-2963 | 18400
-2961 | 18500
-2963 | 18600
-2965 | 18700
-2965 | 18800
-2965 | 18900
-2961 | 19000
-2961 | 19100
-2959 | 19200
-2961 | 19300
-2959 | 19400
-2959 | 19500
-2959 | 19600
-2963 | 19700
-2959 | 19800
-2959 | 19900
-2965 | 20000
-2963 | 20100
-2961 | 20200
-2963 | 20300
-2963 | 20400
-2961 | 20500
-2963 | 20600
-2965 | 20700
-2963 | 20800
-2959 | 20900
-2963 | 21000
-2965 | 21100
-2965 | 21200
-2963 | 21300
-2961 | 21400
-2959 | 21500
-2961 | 21600
-2965 | 21700
-2959 | 21800
-2963 | 21900
