% # columns="iteration, evaluation, sigma, beta, void,  sigvec==sigma_vec.scaling factors from diagonal decoding", seed=73453, Thu Dec 12 14:23:59 2024, <python>{}</python>
1 10 0.4579216033543715 1 0 1.0 1.0 1.0 0.5933110837505157
2 20 0.4536489847059634 1 0 1.0 1.0 1.0 0.5933110837505157
3 30 0.5115724589910524 1 0 1.0 1.0 1.0 0.5933110837505157
4 40 0.500861444899048 1 0 1.0 1.0 1.0 0.5933110837505157
5 50 0.45779985803115036 1 0 1.0 1.0 1.0 0.5933110837505157
6 60 0.4647167386866868 1 0 1.0 1.0 1.0 0.5933110837505157
7 70 0.5064892179515743 1 0 1.0 1.0 1.0 0.5933110837505157
8 80 0.5235340213861582 1 0 1.0 1.0 1.0 0.5933110837505157
9 90 0.44245369737519247 1 0 1.0 1.0 1.0 0.5933110837505157
10 100 0.47609775268040255 1 0 1.0 1.0 1.0 0.5933110837505157
11 110 0.5061755675157524 1 0 1.0 1.0 1.0 0.5933110837505157
12 120 0.44597225295154713 1 0 1.0 1.0 1.0 0.5933110837505157
13 130 0.4151429511190988 1 0 1.0 1.0 1.0 0.5933110837505157
14 140 0.3817874976582257 1 0 1.0 1.0 1.0 0.5933110837505157
15 150 0.33176672982679256 1 0 1.0 1.0 1.0 0.5933110837505157
16 160 0.3077532316176905 1 0 1.0 1.0 1.0 0.5933110837505157
17 170 0.34310835261038514 1 0 1.0 1.0 1.0 0.5933110837505157
18 180 0.2847503880981095 1 0 1.0 1.0 1.0 0.5933110837505157
19 190 0.21990116542675664 1 0 1.0 1.0 1.0 0.5933110837505157
20 200 0.1994715405280519 1 0 1.0 1.0 1.0 0.5933110837505157
21 210 0.17750790203310446 1 0 1.0 1.0 1.0 0.5933110837505157
22 220 0.19043240049334323 1 0 1.0 1.0 1.0 0.5933110837505157
23 230 0.18902750715670905 1 0 1.0 1.0 1.0 0.5933110837505157
24 240 0.15309462364383944 1 0 1.0 1.0 1.0 0.5933110837505157
25 250 0.1294091978353605 1 0 1.0 1.0 1.0 0.5933110837505157
26 260 0.1330238349102522 1 0 1.0 1.0 1.0 0.5933110837505157
27 270 0.11196703805373386 1 0 1.0 1.0 1.0 0.5933110837505157
28 280 0.1127040030907574 1 0 1.0 1.0 1.0 0.5933110837505157
29 290 0.11253314481807056 1 0 1.0 1.0 1.0 0.5933110837505157
30 300 0.11823110581781827 1 0 1.0 1.0 1.0 0.5933110837505157
31 310 0.11125286197780979 1 0 1.0 1.0 1.0 0.5933110837505157
32 320 0.12851823839449503 1 0 1.0 1.0 1.0 0.5933110837505157
33 330 0.15982947275760698 1 0 1.0 1.0 1.0 0.5933110837505157
34 340 0.20272962520405266 1 0 1.0 1.0 1.0 0.5933110837505157
35 350 0.22586009940276006 1 0 1.0 1.0 1.0 0.5933110837505157
36 360 0.21626498445257594 1 0 1.0 1.0 1.0 0.5933110837505157
37 370 0.25502843511756634 1 0 1.0 1.0 1.0 0.5933110837505157
38 380 0.3240019786969648 1 0 1.0 1.0 1.0 0.5933110837505157
39 390 0.3520365299783059 1 0 1.0 1.0 1.0 0.5933110837505157
40 400 0.3528642332025807 1 0 1.0 1.0 1.0 0.5933110837505157
41 410 0.4065482843987023 1 0 1.0 1.0 1.0 0.5933110837505157
42 420 0.3969765845159885 1 0 1.0 1.0 1.0 0.5933110837505157
43 430 0.4136299027165978 1 0 1.0 1.0 1.0 0.5933110837505157
44 440 0.4046714440803737 1 0 1.0 1.0 1.0 0.5933110837505157
45 450 0.40974803044537966 1 0 1.0 1.0 1.0 0.5933110837505157
46 460 0.42123241697218344 1 0 1.0 1.0 1.0 0.5933110837505157
47 470 0.5097275786787058 1 0 1.0 1.0 1.0 0.5933110837505157
48 480 0.6106289525624062 1 0 1.0 1.0 1.0 0.5933110837505157
49 490 0.7945615174577668 1 0 1.0 1.0 1.0 0.5933110837505157
50 500 0.9939876806932783 1 0 1.0 1.0 1.0 0.5933110837505157
51 510 0.9526933486094206 1 0 1.0 1.0 1.0 0.5933110837505157
52 520 0.990760529202585 1 0 1.0 1.0 1.0 0.5933110837505157
53 530 0.8517954199124143 1 0 1.0 1.0 1.0 0.5933110837505157
54 540 0.8182977916950178 1 0 1.0 1.0 1.0 0.5933110837505157
55 550 0.8385311772536914 1 0 1.0 1.0 1.0 0.5933110837505157
56 560 0.7064723041849214 1 0 1.0 1.0 1.0 0.5933110837505157
57 570 0.580787929240845 1 0 1.0 1.0 1.0 0.5933110837505157
58 580 0.4751685685371697 1 0 1.0 1.0 1.0 0.5933110837505157
59 590 0.39145491490661144 1 0 1.0 1.0 1.0 0.5933110837505157
60 600 0.38530836540495605 1 0 1.0 1.0 1.0 0.5933110837505157
61 610 0.30818467973949465 1 0 1.0 1.0 1.0 0.5933110837505157
62 620 0.34165683515321055 1 0 1.0 1.0 1.0 0.5933110837505157
63 630 0.36621743249124783 1 0 1.0 1.0 1.0 0.5933110837505157
64 640 0.2881370213058514 1 0 1.0 1.0 1.0 0.5933110837505157
65 650 0.24866561445023502 1 0 1.0 1.0 1.0 0.5933110837505157
65 650 0.24866561445023502 1 0 1.0 1.0 1.0 0.5933110837505157
