E_mm_a,E_mm_n
-1.7280000000000288,-0.12700000000020517
-1.727000000000029,-0.08800000000020947
-1.726000000000029,-0.05700000000021288
-1.7250000000000292,-0.03800000000021497
-1.7240000000000293,-0.020000000000216955
-1.7230000000000294,-0.0020000000002189378
-1.7220000000000295,0.01499999999977919
-1.7210000000000296,0.030999999999777428
-1.7200000000000297,0.047999999999775556
-1.7190000000000298,0.0639999999997738
-1.71800000000003,0.07899999999977214
-1.71700000000003,0.09099999999977082
-1.7160000000000302,0.10399999999976939
-1.7150000000000303,0.11699999999976796
-1.7140000000000304,0.12899999999976663
-1.7130000000000305,0.1419999999997652
-1.7120000000000306,0.15399999999976388
-1.7110000000000307,0.16699999999976245
-1.7100000000000308,0.17899999999976113
-1.709000000000031,0.1909999999997598
-1.708000000000031,0.20299999999975848
-1.7070000000000312,0.21499999999975716
-1.7060000000000313,0.22699999999975584
-1.7050000000000314,0.23899999999975452
-1.7040000000000315,0.2499999999997533
-1.7030000000000316,0.261999999999752
-1.7020000000000317,0.27399999999975067
-1.7010000000000318,0.28499999999974945
-1.700000000000032,0.29699999999974813
-1.699000000000032,0.3079999999997469
-1.6980000000000322,0.3199999999997456
-1.6970000000000323,0.3309999999997444
-1.6960000000000324,0.34299999999974307
-1.6950000000000325,0.35399999999974185
-1.6940000000000326,0.36599999999974053
-1.6930000000000327,0.3769999999997393
-1.6920000000000328,0.3879999999997381
-1.691000000000033,0.3989999999997369
-1.690000000000033,0.4109999999997356
-1.6890000000000331,0.42199999999973437
-1.6880000000000333,0.43299999999973315
-1.6870000000000334,0.44399999999973194
-1.6860000000000335,0.45499999999973073
-1.6850000000000336,0.4659999999997295
-1.6840000000000337,0.4779999999997282
-1.6830000000000338,0.488999999999727
-1.682000000000034,0.4999999999997258
-1.681000000000034,0.5109999999997246
-1.6800000000000341,0.5219999999997234
-1.6790000000000342,0.5329999999997221
-1.6780000000000344,0.5439999999997209
-1.6770000000000345,0.5549999999997197
-1.6760000000000346,0.5659999999997185
-1.6750000000000347,0.5769999999997173
-1.6740000000000348,0.5879999999997161
-1.673000000000035,0.5989999999997149
-1.672000000000035,0.6099999999997137
-1.6710000000000351,0.6209999999997124
-1.6700000000000352,0.6319999999997112
-1.6690000000000353,0.64299999999971
-1.6680000000000355,0.6539999999997088
-1.6670000000000356,0.6649999999997076
-1.6660000000000357,0.6759999999997064
-1.6650000000000358,0.6869999999997052
-1.664000000000036,0.697999999999704
-1.663000000000036,0.7089999999997028
-1.6620000000000361,0.7199999999997015
-1.6610000000000362,0.7319999999997002
-1.6600000000000363,0.742999999999699
-1.6590000000000364,0.7539999999996978
-1.6580000000000366,0.7649999999996966
-1.6570000000000367,0.7759999999996954
-1.6560000000000368,0.7869999999996942
-1.6550000000000369,0.797999999999693
-1.654000000000037,0.8089999999996917
-1.653000000000037,0.8199999999996905
-1.6520000000000372,0.8319999999996892
-1.6510000000000373,0.842999999999688
-1.6500000000000374,0.8539999999996868
-1.6490000000000375,0.8649999999996856
-1.6480000000000377,0.8759999999996844
-1.6470000000000378,0.887999999999683
-1.6460000000000379,0.8989999999996818
-1.645000000000038,0.9099999999996806
-1.644000000000038,0.9219999999996793
-1.6430000000000382,0.9329999999996781
-1.6420000000000383,0.9439999999996769
-1.6410000000000384,0.9559999999996756
-1.6400000000000385,0.9669999999996743
