E_mm_a,E_mm_n_left,E_mm_n_right
-1.700000000000032,-1.3010000000000759,1.6089999999996036
-1.699000000000032,-1.3020000000000758,1.6379999999996004
-1.6980000000000322,-1.3030000000000757,1.6679999999995971
-1.6970000000000323,-1.3040000000000755,1.6989999999995937
-1.6960000000000324,-1.3050000000000754,1.7309999999995902
-1.6950000000000325,-1.3060000000000753,1.7639999999995866
-1.6940000000000326,-1.3070000000000752,1.7979999999995828
-1.6930000000000327,-1.308000000000075,1.832999999999579
-1.6920000000000328,-1.309000000000075,1.868999999999575
-1.691000000000033,-1.3100000000000749,1.8979999999995718
-1.690000000000033,-1.3110000000000748,1.9259999999995687
-1.6890000000000331,-1.3120000000000747,1.9549999999995655
-1.6880000000000333,-1.3130000000000746,1.9849999999995622
-1.6870000000000334,-1.3140000000000744,2.0149999999995583
-1.6860000000000335,-1.3150000000000743,2.0459999999995553
-1.6850000000000336,-1.3160000000000742,2.0779999999995518
-1.6840000000000337,-1.3170000000000741,2.1109999999995477
-1.6830000000000338,-1.318000000000074,2.144999999999545
-1.682000000000034,-1.319000000000074,2.1799999999995405
-1.681000000000034,-1.3200000000000738,2.2159999999995366
-1.6800000000000341,-1.3210000000000737,2.252999999999533
-1.6790000000000342,-1.3220000000000736,2.290999999999528
-1.6780000000000344,-1.3230000000000735,2.3309999999995235
-1.6770000000000345,-1.3240000000000733,2.3719999999995194
-1.6760000000000346,-1.3250000000000732,2.414999999999514
-1.6750000000000347,-1.3260000000000731,2.4589999999995094
-1.6740000000000348,-1.327000000000073,2.4979999999995055
