E_mm_a,E_mm_n_left,E_mm_n_right
-1.8550000000000149,-1.99,2.5
-1.854000000000015,-1.99,2.5
-1.853000000000015,-1.99,2.5
-1.8520000000000152,-1.99,2.5
-1.8510000000000153,-1.99,2.5
-1.8500000000000154,-1.99,2.5
-1.8490000000000155,-1.99,2.5
-1.8480000000000156,-1.99,2.5
-1.8470000000000157,-1.99,2.5
-1.8460000000000159,-1.99,2.5
-1.845000000000016,-1.99,2.5
-1.844000000000016,-1.99,2.5
-1.8430000000000162,-1.99,2.5
-1.8420000000000163,-1.99,2.5
-1.8410000000000164,-1.99,2.5
-1.8400000000000165,-1.99,2.5
-1.8390000000000166,-1.99,2.5
-1.8380000000000167,-1.99,2.5
-1.8370000000000168,-1.99,2.5
-1.836000000000017,-1.99,2.5
-1.835000000000017,-1.99,2.5
-1.8340000000000172,-1.99,2.5
-1.8330000000000173,-1.99,2.5
-1.8320000000000174,-1.99,2.5
-1.8310000000000175,-1.99,2.5
-1.8300000000000176,-1.99,2.5
-1.8290000000000177,-1.99,2.5
-1.8280000000000178,-1.99,2.5
-1.827000000000018,-1.99,2.5
-1.826000000000018,-1.99,2.5
-1.8250000000000182,-1.99,2.5
-1.8240000000000183,-1.99,2.5
-1.8230000000000184,-1.99,2.5
-1.8220000000000185,-1.99,2.5
-1.8210000000000186,-1.99,2.5
-1.8200000000000187,-1.99,2.5
-1.8190000000000188,-1.99,2.5
-1.818000000000019,-1.99,2.5
-1.817000000000019,-1.99,2.5
-1.8160000000000192,-1.99,2.5
-1.8150000000000193,-1.99,2.5
-1.8140000000000194,-1.99,2.5
-1.8130000000000195,-1.99,2.5
-1.8120000000000196,-1.99,2.5
-1.8110000000000197,-1.99,2.5
-1.8100000000000198,-1.99,2.5
-1.80900000000002,-1.99,2.5
-1.80800000000002,-1.99,2.5
-1.8070000000000201,-1.99,2.5
-1.8060000000000203,-1.99,2.5
-1.8050000000000204,-1.99,2.5
-1.8040000000000205,-1.99,2.5
-1.8030000000000206,-1.99,2.5
-1.8020000000000207,-1.99,2.5
-1.8010000000000208,-1.99,2.5
-1.800000000000021,-1.99,2.5
-1.799000000000021,-1.99,2.5
-1.7980000000000211,-1.99,2.5
-1.7970000000000212,-1.99,2.5
-1.7960000000000214,-1.99,2.5
-1.7950000000000215,-1.99,2.5
-1.7940000000000216,-1.99,2.5
-1.7930000000000217,-1.99,2.5
-1.7920000000000218,-1.99,2.5
-1.791000000000022,-1.99,2.5
-1.790000000000022,-1.99,2.5
-1.7890000000000221,-1.99,2.5
-1.7880000000000222,-1.99,2.5
-1.7870000000000223,-1.99,2.5
-1.7860000000000225,-1.99,2.5
-1.7850000000000226,-1.99,2.5
-1.7840000000000227,-1.99,2.5
-1.7830000000000228,-1.99,2.5
-1.782000000000023,-1.99,2.5
-1.781000000000023,-1.99,2.5
-1.7800000000000231,-1.99,2.5
-1.7790000000000232,-1.99,2.5
-1.7780000000000233,-1.99,2.5
-1.7770000000000234,-1.99,2.5
-1.7760000000000236,-1.99,2.5
-1.7750000000000237,-1.99,2.5
-1.7740000000000238,-1.99,2.5
-1.773000000000024,-1.99,2.5
-1.772000000000024,-1.99,2.5
-1.771000000000024,-1.99,2.5
-1.7700000000000242,-1.99,2.5
-1.7690000000000243,-1.99,2.5
-1.7680000000000244,-1.99,2.5
-1.7670000000000246,-1.99,2.5
-1.7660000000000247,-1.99,2.5
-1.7650000000000248,-1.99,2.5
-1.7640000000000249,-1.99,2.5
-1.763000000000025,-1.99,2.5
-1.762000000000025,-1.99,2.5
-1.7610000000000252,-1.99,2.5
-1.7600000000000253,-1.99,2.5
-1.7590000000000254,-1.99,2.5
-1.7580000000000255,-1.99,2.5
-1.7570000000000257,-1.99,2.5
-1.7560000000000258,-1.99,2.5
-1.7550000000000259,-1.99,2.5
-1.754000000000026,-1.99,2.5
-1.753000000000026,-1.99,2.5
