E_mm_n,E_mm_a
-1.527000000000051,-0.4906249999999999
-1.526000000000051,-0.4906249999999999
-1.5250000000000512,-0.4906249999999999
-1.5240000000000513,-0.4906249999999999
-1.5230000000000514,-0.4906249999999999
-1.5220000000000515,-0.4906249999999999
-1.5210000000000516,-0.4906249999999999
-1.5200000000000518,-0.4906249999999999
-1.5190000000000519,-0.4906249999999999
-1.518000000000052,-0.4906249999999999
-1.517000000000052,-0.4906249999999999
-1.5160000000000522,-0.4906249999999999
-1.5150000000000523,-0.4906249999999999
-1.5140000000000524,-0.5078124999999999
-1.5130000000000525,-0.5078124999999999
-1.5120000000000526,-0.5078124999999999
-1.5110000000000527,-0.5078124999999999
-1.5100000000000529,-0.5078124999999999
-1.509000000000053,-0.5078124999999999
-1.508000000000053,-0.5078124999999999
-1.5070000000000532,-0.5078124999999999
-1.5060000000000533,-0.5078124999999999
-1.5050000000000534,-0.5078124999999999
-1.5040000000000535,-0.5078124999999999
-1.5030000000000536,-0.5249999999999999
-1.5020000000000537,-0.5249999999999999
-1.5010000000000538,-0.5249999999999999
-1.500000000000054,-0.5249999999999999
-1.499000000000054,-0.5249999999999999
-1.4980000000000542,-0.5249999999999999
-1.4970000000000543,-0.5249999999999999
-1.4960000000000544,-0.5249999999999999
-1.4950000000000545,-0.5249999999999999
-1.4940000000000546,-0.5249999999999999
-1.4930000000000547,-0.5249999999999999
-1.4920000000000548,-0.5249999999999999
-1.491000000000055,-0.5249999999999999
-1.490000000000055,-0.5249999999999999
-1.4890000000000552,-0.5249999999999999
-1.4880000000000553,-0.5249999999999999
-1.4870000000000554,-0.5249999999999999
-1.4860000000000555,-0.5249999999999999
-1.4850000000000556,-0.5249999999999999
-1.4840000000000557,-0.5249999999999999
-1.4830000000000558,-0.5249999999999999
-1.482000000000056,-0.5249999999999999
-1.481000000000056,-0.5249999999999999
-1.4800000000000562,-0.5421874999999999
-1.4790000000000563,-0.5421874999999999
-1.4780000000000564,-0.5421874999999999
-1.4770000000000565,-0.5421874999999999
-1.4760000000000566,-0.5421874999999999
-1.4750000000000567,-0.5421874999999999
-1.4740000000000568,-0.5421874999999999
-1.473000000000057,-0.5421874999999999
-1.472000000000057,-0.5421874999999999
-1.4710000000000572,-0.559375
-1.4700000000000573,-0.559375
-1.4690000000000574,-0.559375
-1.4680000000000575,-0.559375
-1.4670000000000576,-0.559375
-1.4660000000000577,-0.559375
-1.4650000000000578,-0.559375
-1.464000000000058,-0.559375
-1.463000000000058,-0.559375
-1.4620000000000581,-0.559375
-1.4610000000000583,-0.559375
-1.4600000000000584,-0.559375
-1.4590000000000585,-0.559375
-1.4580000000000586,-0.559375
-1.4570000000000587,-0.559375
-1.4560000000000588,-0.559375
-1.455000000000059,-0.559375
-1.454000000000059,-0.559375
-1.4530000000000591,-0.559375
-1.4520000000000592,-0.559375
-1.4510000000000594,-0.559375
-1.4500000000000595,-0.559375
-1.4490000000000596,-0.559375
-1.4480000000000597,-0.559375
-1.4470000000000598,-0.559375
-1.44600000000006,-0.5765624999999999
-1.44500000000006,-0.5765624999999999
-1.4440000000000601,-0.5765624999999999
-1.4430000000000602,-0.5765624999999999
-1.4420000000000603,-0.5765624999999999
-1.4410000000000605,-0.5765624999999999
-1.4400000000000606,-0.5765624999999999
-1.4390000000000607,-0.5765624999999999
-1.4380000000000608,-0.5937499999999999
-1.437000000000061,-0.5937499999999999
-1.436000000000061,-0.5937499999999999
-1.4350000000000611,-0.5937499999999999
-1.4340000000000612,-0.5937499999999999
-1.4330000000000613,-0.5937499999999999
-1.4320000000000614,-0.5937499999999999
-1.4310000000000616,-0.5937499999999999
-1.4300000000000617,-0.5937499999999999
-1.4290000000000618,-0.5937499999999999
-1.4280000000000619,-0.5937499999999999
-1.427000000000062,-0.5937499999999999
-1.426000000000062,-0.5937499999999999
-1.4250000000000622,-0.5937499999999999
-1.4240000000000623,-0.5937499999999999
-1.4230000000000624,-0.5937499999999999
-1.4220000000000625,-0.5937499999999999
-1.4210000000000627,-0.5937499999999999
-1.4200000000000628,-0.5937499999999999
-1.4190000000000629,-0.5937499999999999
-1.418000000000063,-0.5937499999999999
-1.417000000000063,-0.5937499999999999
-1.4160000000000632,-0.5937499999999999
-1.4150000000000633,-0.5937499999999999
-1.4140000000000634,-0.5937499999999999
-1.4130000000000635,-0.5937499999999999
-1.4120000000000636,-0.6109374999999999
-1.4110000000000638,-0.6109374999999999
-1.4100000000000639,-0.6109374999999999
-1.409000000000064,-0.6109374999999999
-1.408000000000064,-0.6109374999999999
-1.4070000000000642,-0.6109374999999999
-1.4060000000000643,-0.6109374999999999
-1.4050000000000644,-0.6281249999999998
-1.4040000000000645,-0.6281249999999998
-1.4030000000000646,-0.6281249999999998
-1.4020000000000647,-0.6281249999999998
-1.4010000000000649,-0.6281249999999998
-1.400000000000065,-0.6281249999999998
-1.399000000000065,-0.6281249999999998
-1.3980000000000652,-0.6281249999999998
-1.3970000000000653,-0.6281249999999998
-1.3960000000000654,-0.6281249999999998
-1.3950000000000655,-0.6281249999999998
-1.3940000000000656,-0.6281249999999998
-1.3930000000000657,-0.6281249999999998
-1.3920000000000659,-0.6281249999999998
-1.391000000000066,-0.6281249999999998
-1.390000000000066,-0.6281249999999998
-1.3890000000000662,-0.6281249999999998
-1.3880000000000663,-0.6281249999999998
-1.3870000000000664,-0.6281249999999998
-1.3860000000000665,-0.6281249999999998
-1.3850000000000666,-0.6281249999999998
-1.3840000000000667,-0.6281249999999998
-1.3830000000000668,-0.6281249999999998
-1.382000000000067,-0.6281249999999998
-1.381000000000067,-0.6281249999999998
-1.3800000000000672,-0.6281249999999998
-1.3790000000000673,-0.6453124999999998
-1.3780000000000674,-0.6453124999999998
