,i1,i2,dmu,mu_a1,mu_b1,mu_c1,phi_a1,phi_b1,phi_c1,mu_a2,mu_b2,mu_c2,phi_a2,phi_b2,phi_c2
83262,83262,47675,0.094734574109957,-0.1733199745360136,-108.15650733538295,-2.5334270170870283,0.1155652125384713,0.4174068042541877,0.4670279832073409,-0.0845856191910287,-108.13118689351474,-2.511985726619729,0.9188929765886288,3.5025337549566864e-10,0.0811070230611178
83263,83263,48275,0.0861883788590517,-0.1639517072556533,-107.83070165693046,-2.544888051463306,0.1175069958018352,0.4174068042541877,0.465086199943977,-0.0845856189769583,-107.82385345538788,-2.51198572909357,0.9188929765886288,4.762725190788182e-10,0.0811070229350987
83264,83264,47076,0.0789389532546492,-0.1548565473099026,-107.504895978478,-2.5563665174850967,0.1194487790651991,0.4174068042541877,0.4631444166806131,-0.0809597943062062,-107.47723603740312,-2.554009422623677,0.9222307692307692,2.5757821862866807e-10,0.0777692305116524
83265,83265,47676,0.0671557393537336,-0.1460256863322373,-107.17909030002548,-2.567862561628236,0.121390562328563,0.4174068042541877,0.4612026334172492,-0.0809597941515617,-107.16990261291495,-2.5540094244947777,0.9222307692307692,3.5025337549566864e-10,0.0777692304189773
83266,83266,48276,0.0626171643335895,-0.1374507353384497,-106.853284621573,-2.579376332222575,0.123332345591927,0.4174068042541877,0.4592608501538853,-0.0809597939412769,-106.86256917490924,-2.55400942703909,0.9222307692307692,4.762725190788182e-10,0.0777692302929581
83267,83267,47077,0.0535001025834134,-0.1291236985186421,-106.52747894312051,-2.5909079794834065,0.1252741288552909,0.4174068042541877,0.4573190668905214,-0.0773470683904066,-106.5159517567143,-2.5978768762796065,0.9255685618729096,2.5757821862866807e-10,0.074431437869512
83268,83268,47677,0.0444749724059996,-0.1210369490450005,-106.201673264668,-2.602457655543555,0.1272159121186548,0.4174068042541877,0.4553772836271573,-0.077347068238546,-106.20861833231524,-2.5978768782069306,0.9255685618729096,3.5025337549566864e-10,0.0744314377768369
83269,83269,48277,0.0468086184525341,-0.1131832067121165,-105.8758675862155,-2.6140255144861517,0.1291576953820187,0.4174068042541877,0.4534355003637934,-0.0773470680320469,-105.90128489443065,-2.597876880827694,0.9255685618729096,4.762725190788182e-10,0.0744314376508177
83270,83270,47078,0.0369084574231059,-0.1055555172457638,-105.55006190776302,-2.625611712378114,0.1310994786453826,0.4174068042541877,0.4514937171004295,-0.0737473472944494,-105.55466747602544,-2.643757326026648,0.9289063545150502,2.5757821862866807e-10,0.0710936452273715
83271,83271,47678,0.0342158437993933,-0.0981472331329196,-105.22425622931053,-2.637216407304351,0.1330412619087466,0.4174068042541877,0.4495519338370656,-0.0737473471453728,-105.24733405171546,-2.643757328015212,0.9289063545150502,3.5025337549566864e-10,0.0710936451346964
83272,83272,48278,0.0452574719592063,-0.0909519958407654,-104.89845055085806,-2.6488397594027,0.1349830451721105,0.4174068042541877,0.4476101505737017,-0.0737473469426593,-104.94000061395198,-2.643757330719251,0.9289063545150502,4.762725190788182e-10,0.0710936450086772
83273,83273,47079,0.0400526257182019,-0.0839637193056259,-104.57264487240556,-2.660481930899631,0.1369248284354744,0.4174068042541877,0.4456683673103377,-0.0701605377265089,-104.59338319533656,-2.691844439843041,0.9322441471571908,2.5757821862866807e-10,0.067755852585231
83274,83274,47679,0.0444391444014354,-0.077176574584528,-104.24683919395308,-2.672143086146725,0.1388666116988383,0.4174068042541877,0.4437265840469738,-0.0701605375802163,-104.28604977111569,-2.6918444418986054,0.9322441471571908,3.5025337549566864e-10,0.0677558524925558
83275,83275,48279,0.0582393761029561,-0.0705849755725109,-103.92103351550058,-2.6838233916579544,0.1408083949622023,0.4174068042541877,0.4417848007836099,-0.0701605373812884,-103.97871633347336,-2.6918444446937504,0.9322441471571908,4.762725190788182e-10,0.0677558523665367
83276,83276,47080,0.0596579511478659,-0.0641835656980949,-103.5952278370481,-2.695523016147788,0.1427501782255662,0.4174068042541877,0.439843017520246,-0.0665865473950351,-103.63209891464774,-2.7423612532064827,0.9355819397993312,2.5757821862866807e-10,0.0644180599430906
83277,83277,49779,0.0622208156136461,-0.0579672055176088,-103.2694221585956,-2.70724213057013,0.1446919614889301,0.4174068042541877,0.4379012342568821,-0.0701605365120553,-103.21038264453372,-2.6918444569073867,0.9322441471571908,1.0269244842254736e-09,0.0677558518158847
83278,83278,50379,0.0521000532518129,-0.0519309611364748,-102.94361648014312,-2.7189809081581373,0.146633744752294,0.4174068042541877,0.4359594509935182,-0.0701605359288093,-102.90304910889446,-2.691844465102605,0.9322441471571908,1.3964059884180298e-09,0.0677558514464032
83279,83279,50979,0.0508072400699427,-0.0460700933921662,-102.61781080169062,-2.730739524464911,0.1485755280156579,0.4174068042541877,0.4340176677301542,-0.0701605351357148,-102.59571551974614,-2.6918444762464158,0.9322441471571908,1.8988248059548726e-09,0.0677558509439844
83280,83280,49780,0.0502771828297953,-0.0403800477394957,-102.29200512323814,-2.7425181574051094,0.1505173112790218,0.4174068042541877,0.4320758844667903,-0.0665865462036928,-102.24909836458446,-2.742361270882278,0.9355819397993312,1.0269244842254736e-09,0.0644180591737443
83281,83281,50380,0.0417946011551193,-0.0348564447842125,-101.96619944478566,-2.754316987297499,0.1524590945423858,0.4174068042541877,0.4301341012034264,-0.0665865456315461,-101.94176482930038,-2.742361279371147,0.9355819397993312,1.3964059884180298e-09,0.0644180588042628
83282,83282,50980,0.04445869172081,-0.0294950714156803,-101.64039376633318,-2.766136196908461,0.1544008778057497,0.4174068042541877,0.4281923179400625,-0.0665865448535442,-101.634431240635,-2.7423612909142623,0.9355819397993312,1.8988248059548726e-09,0.064418058301844
83283,83283,49781,0.0502647896601957,-0.0242918724936922,-101.31458808788068,-2.7779759714964936,0.1563426610691136,0.4174068042541877,0.4262505346766986,-0.0630252838262726,-101.28781408463514,-2.7955664426764515,0.9389197324414716,1.0269244842254736e-09,0.0610802665316038
83284,83284,50381,0.0449293506170625,-0.0192429430484031,-100.9887824094282,-2.789836498857727,0.1582844443324775,0.4174068042541877,0.4243087514133347,-0.0630252832652251,-100.98048054970624,-2.795566451489852,0.9389197324414716,1.3964059884180298e-09,0.0610802661621223
83285,83285,50981,0.0501107888479678,-0.0143445209558161,-100.6629767309757,-2.80171796937248,0.1602262275958414,0.4174068042541877,0.4223669681499707,-0.063025282502316,-100.67314696152386,-2.795566463474263,0.9389197324414716,1.8988248059548726e-09,0.0610802656597035
83286,83286,51581,0.0632561429447793,-0.0095929800544647,-100.33717105252322,-2.8136205760528976,0.1621680108592054,0.4174068042541877,0.4204251848866068,-0.0630252814649167,-100.36581330092768,-2.795566479770596,0.9389197324414716,2.582011015144821e-09,0.0610802649765173
83287,83287,50382,0.0609758482734217,-0.0049848236717686,-100.01136537407072,-2.825544514591678,0.1641097941225693,0.4174068042541877,0.4184834016232429,-0.0594766584963532,-100.01919627011216,-2.851762277221271,0.942257525083612,1.3964059884180298e-09,0.0577424735199819
83288,83288,50982,0.0661197776032069,-0.0005166785311543,-99.68555969561824,-2.8374899834119485,0.1660515773859332,0.4174068042541877,0.416541618359879,-0.0594766577485368,-99.71186268241271,-2.851762289696252,0.942257525083612,1.8988248059548726e-09,0.0577424730175631
83289,83289,51582,0.0775623099173433,0.0038147109866255,-99.35975401716576,-2.8494571837182896,0.1679933606492971,0.4174068042541877,0.4145998350965151,-0.0594766567316604,-99.40452902247328,-2.8517623066596567,0.942257525083612,2.582011015144821e-09,0.0577424723343769
83290,83290,50383,0.0845585546610325,0.0080124882523959,-99.03394833871327,-2.8614463195489743,0.1699351439126611,0.4174068042541877,0.4126580518331512,-0.0559405819497178,-99.05791199051802,-2.911305093804536,0.9455953177257526,1.3964059884180298e-09,0.0544046808778414
83291,83291,50983,0.0886565477104228,0.0120796894901731,-98.70814266026078,-2.873457597829425,0.171876927176025,0.4174068042541877,0.4107162685697872,-0.0559405812169942,-98.75057840330156,-2.911305106828427,0.9455953177257526,1.8988248059548726e-09,0.0544046803754226
83292,83292,51583,0.0977462515532678,0.0160192485922006,-98.3823369818083,-2.885491228426946,0.1738187104393889,0.4174068042541877,0.4087744853064233,-0.0559405802206408,-98.44324474401884,-2.91130512453824,0.9455953177257526,2.582011015144821e-09,0.0544046796922364
83293,83293,54282,0.0980399432844762,0.0198340016665063,-98.0565313033558,-2.897547424206752,0.1757604937027528,0.4174068042541877,0.4068327020430594,-0.0594766452527717,-98.0215256993707,-2.851762498149081,0.942257525083612,1.0294078218681242e-08,0.0577424646223097
83294,83294,53083,0.097124864193774,0.0235266913346288,-97.73072562490331,-2.909626401089344,0.1777022769661168,0.4174068042541877,0.4048909187796955,-0.0559405758669854,-97.67491008660146,-2.9113052019228567,0.9455953177257526,5.567254510339041e-09,0.0544046767069929
