This file contains energy of the Grid at certain points in the simulation.
Energy | Step_Number
-2969 | 0
-2961 | 100
-2961 | 200
-2961 | 300
-2961 | 400
-2961 | 500
-2959 | 600
-2961 | 700
-2961 | 800
-2959 | 900
-2959 | 1000
-2963 | 1100
-2963 | 1200
-2961 | 1300
-2959 | 1400
-2959 | 1500
-2959 | 1600
-2963 | 1700
-2963 | 1800
-2961 | 1900
-2961 | 2000
-2959 | 2100
-2961 | 2200
-2965 | 2300
-2961 | 2400
-2961 | 2500
-2965 | 2600
-2963 | 2700
-2961 | 2800
-2965 | 2900
-2959 | 3000
-2963 | 3100
-2961 | 3200
-2961 | 3300
-2959 | 3400
-2959 | 3500
-2963 | 3600
-2963 | 3700
-2959 | 3800
-2959 | 3900
-2965 | 4000
-2959 | 4100
-2961 | 4200
-2961 | 4300
-2961 | 4400
-2959 | 4500
-2959 | 4600
-2959 | 4700
-2961 | 4800
-2959 | 4900
-2961 | 5000
-2959 | 5100
-2961 | 5200
-2965 | 5300
-2959 | 5400
-2959 | 5500
-2965 | 5600
-2963 | 5700
-2961 | 5800
-2959 | 5900
-2961 | 6000
-2959 | 6100
-2961 | 6200
-2963 | 6300
-2961 | 6400
-2961 | 6500
-2961 | 6600
-2961 | 6700
-2965 | 6800
-2959 | 6900
-2969 | 7000
-2961 | 7100
-2961 | 7200
-2959 | 7300
-2961 | 7400
-2961 | 7500
-2959 | 7600
-2959 | 7700
-2961 | 7800
-2959 | 7900
-2965 | 8000
-2959 | 8100
-2959 | 8200
-2961 | 8300
-2961 | 8400
-2959 | 8500
-2963 | 8600
-2961 | 8700
-2961 | 8800
-2959 | 8900
-2965 | 9000
-2961 | 9100
-2961 | 9200
-2965 | 9300
-2965 | 9400
-2959 | 9500
-2959 | 9600
-2963 | 9700
-2959 | 9800
-2965 | 9900
-2963 | 10000
-2965 | 10100
-2959 | 10200
-2963 | 10300
-2961 | 10400
-2963 | 10500
-2959 | 10600
-2959 | 10700
-2961 | 10800
-2963 | 10900
-2959 | 11000
-2965 | 11100
-2959 | 11200
-2963 | 11300
-2965 | 11400
-2959 | 11500
-2963 | 11600
-2959 | 11700
-2959 | 11800
-2961 | 11900
-2959 | 12000
-2961 | 12100
-2965 | 12200
-2963 | 12300
-2959 | 12400
-2963 | 12500
-2959 | 12600
-2965 | 12700
-2963 | 12800
-2965 | 12900
-2959 | 13000
-2963 | 13100
-2959 | 13200
-2961 | 13300
-2961 | 13400
-2959 | 13500
-2965 | 13600
-2963 | 13700
-2969 | 13800
-2961 | 13900
-2961 | 14000
-2963 | 14100
-2959 | 14200
-2959 | 14300
-2959 | 14400
-2965 | 14500
-2959 | 14600
-2965 | 14700
-2963 | 14800
-2961 | 14900
-2963 | 15000
-2959 | 15100
-2961 | 15200
-2959 | 15300
-2959 | 15400
-2959 | 15500
-2961 | 15600
-2965 | 15700
-2969 | 15800
-2961 | 15900
-2965 | 16000
-2963 | 16100
-2963 | 16200
-2961 | 16300
-2961 | 16400
-2961 | 16500
-2961 | 16600
-2965 | 16700
-2961 | 16800
-2961 | 16900
-2959 | 17000
-2959 | 17100
-2961 | 17200
-2959 | 17300
-2959 | 17400
-2965 | 17500
-2965 | 17600
-2959 | 17700
-2961 | 17800
-2965 | 17900
-2963 | 18000
-2963 | 18100
-2965 | 18200
-2965 | 18300
-2959 | 18400
-2963 | 18500
-2963 | 18600
-2959 | 18700
-2961 | 18800
-2965 | 18900
-2963 | 19000
-2961 | 19100
-2959 | 19200
-2963 | 19300
-2965 | 19400
-2961 | 19500
-2963 | 19600
-2963 | 19700
