% # columns="iteration, evaluation, void, void, void, xmean", seed=918373, Mon May 27 16:39:39 2024, <python>{}</python> # scaling_of_variables: 1, typical_x: 0
1 10 0 0 0 0.3357847588452766 -134.65135030636503 -54.09394527684289 -186.27505323877386 0.0 1.0096459043546528 167.10653539928936 8.742781664384461
2 20 0 0 0 0.34883933510113924 -134.6759286694502 -54.1171358676689 -186.2734466287022 0.0 1.0099648797216731 167.15034555871034 8.782264622564854
3 30 0 0 0 0.4232042444557691 -134.61986799177586 -54.00087913233071 -186.18129237212034 0.0 0.9568711829347397 167.16893368591067 8.798772652586411
4 40 0 0 0 0.41647008333114965 -134.59432658354862 -54.028124990013495 -186.08239711966095 0.0 0.8982607465661732 167.01250343034775 8.799324205083611
5 50 0 0 0 0.43733320054467967 -134.59180105263698 -54.07038907094086 -186.1565435092681 0.0 0.9029982773449785 166.97759237429474 8.78955356773412
6 60 0 0 0 0.44668865986832823 -134.63031671831828 -54.136000602834926 -186.12999376352187 0.0 0.9332716411815193 166.90992404759922 8.782559628672814
7 70 0 0 0 0.42335661322420254 -134.55611932688393 -54.062142932220425 -186.03127588350682 0.0 0.9175753972215249 166.90273506113616 8.791255885370692
8 80 0 0 0 0.4563474190280122 -134.5474445730432 -54.00838344231943 -186.06540954242715 0.0 0.8971055289229912 166.8710407501464 8.84677864021247
9 90 0 0 0 0.4571918799293369 -134.55359358798424 -53.975674382320655 -186.2168136792391 0.0 0.8975363677343124 166.96412363449073 8.782578620799564
10 100 0 0 0 0.4984474002193114 -134.5121507504249 -53.95692290079839 -186.10639254528274 0.0 0.8075079856915478 166.9276498910149 8.800568650228772
11 110 0 0 0 0.4858748748382893 -134.53418223473597 -53.9981364596376 -186.12552482780086 0.0 0.8039992710378532 166.95980635554255 8.8067892556288
12 120 0 0 0 0.47283755704686903 -134.52532707853356 -54.011731646228355 -186.17709059449408 0.0 0.7980850855454825 166.94970682142423 8.78436797647525
13 130 0 0 0 0.49944615773300566 -134.50819143014962 -54.01034487713847 -186.15086334039503 0.0 0.8236193870263794 166.97110651679625 8.789683527351663
14 140 0 0 0 0.5021300327449291 -134.48551884827845 -54.002443228380386 -186.16964732725987 0.0 0.8644277078548791 166.99393432310018 8.783460464607073
15 150 0 0 0 0.5553579280598825 -134.5262830696089 -54.058959843847376 -186.2164540192949 0.0 0.8220046694241048 166.9654089535633 8.82239760691627
16 160 0 0 0 0.5481413538224795 -134.47998094646798 -54.038068044718756 -186.1250484804609 0.0 0.7942267322709787 166.9489595372678 8.814990882797707
17 170 0 0 0 0.5649332952852805 -134.3815350523582 -54.01390784392087 -186.11787698523318 0.0 0.8001091998380194 166.9490707480291 8.849090369706301
18 180 0 0 0 0.5796917110341402 -134.30011437087376 -53.93155516707914 -186.11007983901254 0.0 0.794412436857141 166.93119917409524 8.848194239657554
19 190 0 0 0 0.5822838458380625 -134.38498314648137 -54.046667480770175 -186.1092313454173 0.0 0.7621497637630354 166.93884696873013 8.836737318691492
20 200 0 0 0 0.5574770951259472 -134.36420264164354 -54.083314106433676 -186.06872244706324 0.0 0.7822266005385388 166.9146744080438 8.839781204989894
21 210 0 0 0 0.5516796674989536 -134.34580916584306 -54.02813190163783 -186.03252083246392 0.0 0.7941879762311019 166.92259704234476 8.827360830084734
22 220 0 0 0 0.516096093556064 -134.37663707184836 -54.02318486260421 -186.0531001609867 0.0 0.8526220488202901 166.93079955846304 8.806552884298492
23 230 0 0 0 0.5113970634420508 -134.36670603622684 -54.078947970632306 -186.0742695125581 0.0 0.8478987830942072 166.8683825352758 8.850968623816994
24 240 0 0 0 0.49809648696780023 -134.37089059164018 -54.0958539504991 -186.11332904717847 0.0 0.9035113421974282 166.88109244141629 8.84864049793543
25 250 0 0 0 0.515456594507377 -134.34248398422034 -54.08589851491753 -186.09525354931486 0.0 0.8770929007470799 166.89964242145487 8.872867785471039
