-20.5 | 5 | 6 | 18 | 135
-20.5 | 5 | 6 | 18 | 136
-20.5 | 5 | 6 | 18 | 137
-20.5 | 5 | 6 | 18 | 138
-20.5 | 5 | 6 | 18 | 139
-20.5 | 5 | 5 | 19 | 140
-20.5 | 5 | 5 | 19 | 141
-20.5 | 5 | 5 | 19 | 142
-20.5 | 5 | 5 | 19 | 143
-20.5 | 5 | 5 | 19 | 144
-20.5 | 5 | 5 | 19 | 145
-20.5 | 5 | 5 | 19 | 146
-20.5 | 5 | 5 | 19 | 147
-20.5 | 5 | 5 | 19 | 148
-20.5 | 5 | 5 | 19 | 149
-20.5 | 5 | 5 | 19 | 150
-20.5 | 5 | 4 | 20 | 151
-20.5 | 5 | 4 | 20 | 152
-20.5 | 5 | 4 | 20 | 153
-20.5 | 5 | 6 | 18 | 154
-20.5 | 5 | 6 | 18 | 155
-20.5 | 5 | 6 | 18 | 156
-20.5 | 5 | 6 | 18 | 157
-20.5 | 5 | 6 | 18 | 158
-20.5 | 5 | 6 | 18 | 159
-20.5 | 5 | 6 | 18 | 160
-20.5 | 5 | 6 | 18 | 161
-20.5 | 5 | 6 | 18 | 162
-20.5 | 5 | 6 | 18 | 163
-20.5 | 5 | 6 | 18 | 164
-20.5 | 5 | 6 | 18 | 165
-20.5 | 5 | 6 | 18 | 166
-20.5 | 5 | 6 | 18 | 167
-20.5 | 5 | 6 | 18 | 168
-20.5 | 5 | 6 | 18 | 169
-20.5 | 5 | 6 | 18 | 170
-20.5 | 5 | 6 | 18 | 171
-20.5 | 5 | 6 | 18 | 172
-20.5 | 5 | 6 | 18 | 173
-20.5 | 5 | 6 | 18 | 174
-20.5 | 5 | 6 | 18 | 175
-20.5 | 5 | 6 | 18 | 176
-20.5 | 5 | 6 | 18 | 177
-20.5 | 5 | 6 | 18 | 178
-20.5 | 5 | 6 | 18 | 179
-20.5 | 5 | 5 | 19 | 180
-20.5 | 5 | 5 | 19 | 181
-20.5 | 5 | 5 | 19 | 182
-20.5 | 5 | 5 | 19 | 183
-20.5 | 5 | 5 | 19 | 184
-20.5 | 5 | 5 | 19 | 185
-20.5 | 5 | 5 | 19 | 186
-20.5 | 5 | 8 | 16 | 187
-20.5 | 5 | 8 | 16 | 188
-20.5 | 5 | 8 | 16 | 189
-20.5 | 5 | 8 | 16 | 190
-20.5 | 5 | 8 | 16 | 191
-20.5 | 5 | 7 | 17 | 192
-20.5 | 5 | 7 | 17 | 193
-20.5 | 5 | 5 | 19 | 194
-20.5 | 5 | 5 | 19 | 195
-20.5 | 5 | 5 | 19 | 196
-20.5 | 5 | 2 | 22 | 197
-20.5 | 5 | 2 | 22 | 198
-20.5 | 5 | 2 | 22 | 199
-20.5 | 5 | 2 | 22 | 200
-20.5 | 5 | 2 | 22 | 201
-20.5 | 5 | 2 | 22 | 202
-20.5 | 5 | 2 | 22 | 203
-20.5 | 5 | 2 | 22 | 204
-20.5 | 5 | 2 | 22 | 205
-20.5 | 5 | 2 | 22 | 206
-20.5 | 5 | 2 | 22 | 207
-20.5 | 5 | 2 | 22 | 208
-20.5 | 5 | 2 | 22 | 209
-20.5 | 5 | 2 | 22 | 210
-20.5 | 5 | 2 | 22 | 211
-20.5 | 5 | 2 | 22 | 212
-20.5 | 5 | 2 | 22 | 213
-20.5 | 5 | 2 | 22 | 214
-20.5 | 5 | 2 | 22 | 215
-20.5 | 5 | 2 | 22 | 216
-20.5 | 5 | 2 | 22 | 217
-20.5 | 5 | 2 | 22 | 218
-20.5 | 5 | 2 | 22 | 219
-20.5 | 5 | 2 | 22 | 220
-20.5 | 5 | 2 | 22 | 221
-20.5 | 5 | 2 | 22 | 222
-20.5 | 5 | 2 | 22 | 223
-20.5 | 5 | 4 | 20 | 224
-20.5 | 5 | 4 | 20 | 225
-20.5 | 5 | 4 | 20 | 226
-20.5 | 5 | 4 | 20 | 227
-20.5 | 5 | 4 | 20 | 228
-20.5 | 5 | 4 | 20 | 229
-20.5 | 5 | 4 | 20 | 230
-20.5 | 5 | 4 | 20 | 231
-20.5 | 5 | 4 | 20 | 232
-20.5 | 5 | 4 | 20 | 233
-20.5 | 5 | 4 | 20 | 234
-20.5 | 5 | 4 | 20 | 235
-20.5 | 5 | 4 | 20 | 236
-20.5 | 5 | 4 | 20 | 237
-20.5 | 5 | 4 | 20 | 238
-20.5 | 5 | 4 | 20 | 239
-20.5 | 5 | 4 | 20 | 240
-20.5 | 5 | 4 | 20 | 241
-20.5 | 5 | 4 | 20 | 242
-20.5 | 5 | 4 | 20 | 243
-20.5 | 5 | 5 | 19 | 244
-20.5 | 5 | 5 | 19 | 245
-20.5 | 5 | 5 | 19 | 246
-20.5 | 5 | 5 | 19 | 247
-20.5 | 5 | 5 | 19 | 248
-20.5 | 5 | 7 | 17 | 249
-20.5 | 5 | 7 | 17 | 250
-20.5 | 5 | 5 | 19 | 251
-20.5 | 5 | 6 | 18 | 252
-20.5 | 5 | 1 | 23 | 253
-20.5 | 5 | 1 | 23 | 254
-20.5 | 5 | 1 | 23 | 255
-20.5 | 5 | 1 | 23 | 256
-20.5 | 5 | 1 | 23 | 257
-20.5 | 5 | 1 | 23 | 258
-20.5 | 5 | 1 | 23 | 259
-20.5 | 5 | 1 | 23 | 260
-20.5 | 5 | 1 | 23 | 261
-20.5 | 5 | 4 | 20 | 262
-20.5 | 5 | 4 | 20 | 263
-20.5 | 5 | 4 | 20 | 264
-20.5 | 5 | 4 | 20 | 265
-20.5 | 5 | 4 | 20 | 266
-20.5 | 5 | 4 | 20 | 267
-20.5 | 5 | 2 | 22 | 268
-20.5 | 5 | 2 | 22 | 269
-20.5 | 5 | 2 | 22 | 270
-20.5 | 5 | 2 | 22 | 271
-20.5 | 5 | 2 | 22 | 272
-20.5 | 5 | 2 | 22 | 273
-20.5 | 5 | 3 | 21 | 274
-20.5 | 5 | 3 | 21 | 275
-20.5 | 5 | 3 | 21 | 276
-20.5 | 5 | 3 | 21 | 277
-20.5 | 5 | 3 | 21 | 278
-20.5 | 5 | 3 | 21 | 279
-20.5 | 5 | 3 | 21 | 280
-20.5 | 5 | 3 | 21 | 281
-20.5 | 5 | 3 | 21 | 282
-20.5 | 5 | 3 | 21 | 283
-20.5 | 5 | 3 | 21 | 284
-20.5 | 5 | 4 | 20 | 285
-20.5 | 5 | 4 | 20 | 286
-20.5 | 5 | 4 | 20 | 287
-20.5 | 5 | 4 | 20 | 288
-20.5 | 5 | 4 | 20 | 289
-20.5 | 5 | 4 | 20 | 290
-20.5 | 5 | 6 | 18 | 291
-20.5 | 5 | 6 | 18 | 292
-20.5 | 5 | 6 | 18 | 293
-20.5 | 5 | 6 | 18 | 294
-20.5 | 5 | 6 | 18 | 295
-20.5 | 5 | 6 | 18 | 296
-20.5 | 5 | 6 | 18 | 297
-20.5 | 5 | 6 | 18 | 298
-20.5 | 5 | 6 | 18 | 299
-20.5 | 5 | 6 | 18 | 300
-20.5 | 5 | 6 | 18 | 301
-20.5 | 5 | 6 | 18 | 302
-20.5 | 5 | 6 | 18 | 303
-20.5 | 5 | 6 | 18 | 304
-20.5 | 5 | 6 | 18 | 305
-20.5 | 5 | 6 | 18 | 306
-20.5 | 5 | 6 | 18 | 307
-20.5 | 5 | 3 | 21 | 308
-20.5 | 5 | 3 | 21 | 309
-20.5 | 5 | 3 | 21 | 310
-20.5 | 5 | 3 | 21 | 311
-20.5 | 5 | 1 | 23 | 312
-20.5 | 5 | 1 | 23 | 313
-20.5 | 5 | 1 | 23 | 314
-20.5 | 5 | 1 | 23 | 315
-20.5 | 5 | 1 | 23 | 316
-20.5 | 5 | 1 | 23 | 317
-20.5 | 5 | 1 | 23 | 318
-20.5 | 5 | 1 | 23 | 319
-20.5 | 5 | 3 | 21 | 320
-20.5 | 5 | 3 | 21 | 321
-20.5 | 5 | 3 | 21 | 322
-20.5 | 5 | 3 | 21 | 323
-20.5 | 5 | 3 | 21 | 324
-20.5 | 5 | 3 | 21 | 325
-20.5 | 5 | 3 | 21 | 326
-20.5 | 5 | 3 | 21 | 327
-20.5 | 5 | 3 | 21 | 328
-20.5 | 5 | 3 | 21 | 329
-20.5 | 5 | 3 | 21 | 330
-20.5 | 5 | 3 | 21 | 331
-20.5 | 5 | 3 | 21 | 332
-20.5 | 5 | 3 | 21 | 333
-20.5 | 5 | 3 | 21 | 334
-20.5 | 5 | 4 | 20 | 335
-20.5 | 5 | 4 | 20 | 336
-20.5 | 5 | 4 | 20 | 337
-20.5 | 5 | 4 | 20 | 338
-20.5 | 5 | 4 | 20 | 339
-20.5 | 5 | 4 | 20 | 340
-20.5 | 5 | 2 | 22 | 341
-20.5 | 5 | 2 | 22 | 342
-20.5 | 5 | 2 | 22 | 343
-20.5 | 5 | 2 | 22 | 344
-20.5 | 5 | 2 | 22 | 345
-20.5 | 5 | 2 | 22 | 346
-20.5 | 5 | 2 | 22 | 347
-20.5 | 5 | 2 | 22 | 348
-20.5 | 5 | 2 | 22 | 349
-20.5 | 5 | 2 | 22 | 350
-20.5 | 5 | 2 | 22 | 351
-20.5 | 5 | 2 | 22 | 352
-20.5 | 5 | 2 | 22 | 353
-20.5 | 5 | 2 | 22 | 354
-20.5 | 5 | 2 | 22 | 355
-20.5 | 5 | 6 | 18 | 356
-20.5 | 5 | 6 | 18 | 357
-20.5 | 5 | 1 | 23 | 358
-20.5 | 5 | 3 | 21 | 359
-20.5 | 5 | 3 | 21 | 360
-20.5 | 5 | 3 | 21 | 361
-20.5 | 5 | 3 | 21 | 362
-20.5 | 5 | 3 | 21 | 363
-20.5 | 5 | 3 | 21 | 364
-20.5 | 5 | 3 | 21 | 365
-20.5 | 5 | 3 | 21 | 366
-20.5 | 5 | 3 | 21 | 367
-20.5 | 5 | 3 | 21 | 368
-20.5 | 5 | 3 | 21 | 369
-20.5 | 5 | 3 | 21 | 370
-20.5 | 5 | 3 | 21 | 371
-20.5 | 5 | 3 | 21 | 372
-20.5 | 5 | 4 | 20 | 373
-20.5 | 5 | 4 | 20 | 374
-20.5 | 5 | 4 | 20 | 375
-20.5 | 5 | 4 | 20 | 376
-20.5 | 5 | 4 | 20 | 377
-20.5 | 5 | 3 | 21 | 378
-20.5 | 5 | 3 | 21 | 379
-20.5 | 5 | 3 | 21 | 380
-20.5 | 5 | 3 | 21 | 381
-20.5 | 5 | 3 | 21 | 382
-20.5 | 5 | 3 | 21 | 383
-20.5 | 5 | 3 | 21 | 384
-20.5 | 5 | 4 | 20 | 385
-20.5 | 5 | 4 | 20 | 386
-20.5 | 5 | 4 | 20 | 387
-20.5 | 5 | 4 | 20 | 388
-20.5 | 5 | 4 | 20 | 389
-20.5 | 5 | 4 | 20 | 390
