TE | M_tot | aa | na | an | nn | S_tot | aa | na | an | nn | timestep 
-89.2 | 9 | 9 | 0 | 0 | 0 | 30 | 28 | 1 | 1 | 0 | 65
-89.2 | 9 | 9 | 0 | 0 | 0 | 30 | 28 | 1 | 1 | 0 | 66
-88.8 | 9 | 9 | 0 | 0 | 0 | 30 | 27 | 2 | 1 | 0 | 67
-89.6 | 10 | 10 | 0 | 0 | 0 | 28 | 26 | 1 | 1 | 0 | 68
-89.6 | 10 | 10 | 0 | 0 | 0 | 28 | 26 | 1 | 1 | 0 | 69
-89.6 | 10 | 10 | 0 | 0 | 0 | 28 | 26 | 1 | 1 | 0 | 70
-89.6 | 10 | 10 | 0 | 0 | 0 | 28 | 26 | 1 | 1 | 0 | 71
-89.6 | 10 | 10 | 0 | 0 | 0 | 28 | 26 | 1 | 1 | 0 | 72
-89.6 | 10 | 10 | 0 | 0 | 0 | 28 | 26 | 1 | 1 | 0 | 73
-89.6 | 10 | 10 | 0 | 0 | 0 | 28 | 26 | 1 | 1 | 0 | 74
-89.2 | 9 | 9 | 0 | 0 | 0 | 30 | 28 | 1 | 1 | 0 | 75
-88.8 | 9 | 9 | 0 | 0 | 0 | 30 | 27 | 2 | 1 | 0 | 76
-89.2 | 10 | 10 | 0 | 0 | 0 | 28 | 25 | 2 | 1 | 0 | 77
-89.2 | 10 | 10 | 0 | 0 | 0 | 28 | 25 | 2 | 1 | 0 | 78
-89.2 | 10 | 10 | 0 | 0 | 0 | 28 | 25 | 2 | 1 | 0 | 79
-89.2 | 10 | 10 | 0 | 0 | 0 | 28 | 25 | 1 | 2 | 0 | 80
-89.2 | 10 | 10 | 0 | 0 | 0 | 28 | 25 | 2 | 1 | 0 | 81
-88.8 | 9 | 9 | 0 | 0 | 0 | 30 | 27 | 2 | 1 | 0 | 82
-88.8 | 9 | 9 | 0 | 0 | 0 | 30 | 27 | 2 | 1 | 0 | 83
-88.8 | 9 | 9 | 0 | 0 | 0 | 30 | 27 | 2 | 1 | 0 | 84
-88.8 | 9 | 9 | 0 | 0 | 0 | 30 | 27 | 2 | 1 | 0 | 85
-89.6 | 10 | 10 | 0 | 0 | 0 | 28 | 26 | 2 | 0 | 0 | 86
-89.6 | 10 | 10 | 0 | 0 | 0 | 28 | 26 | 2 | 0 | 0 | 87
-89.6 | 10 | 10 | 0 | 0 | 0 | 28 | 26 | 2 | 0 | 0 | 88
