num,T,Nmm,Nms
0,0.01,206.599381371701,418.801237256598
1,0.025,203.890797171695,424.218405656611
2,0.05,197.686368431527,436.627263136947
3,0.075,187.271043182978,457.457913634051
4,0.1,166.436217256565,499.127565486878
5,0.25,39.5159984690191,752.968003061891
6,0.5,37.6631430437653,756.673713912359
7,0.75,38.4816728613893,755.036654277397
8,1.0,39.5747944708389,752.850411058097
9,2.5,45.2611164222268,741.477767155261
10,5.0,50.6578075359906,730.684384928438
11,10.0,55.4029681666136,721.194063667226
12,25.0,59.4612515735594,713.077496852562
13,50.0,61.0932690852211,709.81346182917
14,100.0,61.9706417736821,708.058716452951
