num,T,Nmm,Nms
0,0.01,32.0,768.000000000005
1,0.025,32.0,767.999999999999
2,0.05,32.0000000569391,767.99999988612
3,0.075,32.0000447401283,767.999910519748
4,0.1,32.0012533408301,767.997493318334
5,0.25,32.4074978728533,767.185004254276
6,0.5,33.7867589116156,764.426482176814
7,0.75,35.0402043031972,761.91959139355
8,1.0,36.2030990013151,759.593801997272
9,2.5,41.7200654505335,748.559869098736
10,5.0,47.3666940150936,737.266611969502
11,10.0,52.9110774409529,726.17784511773
12,25.0,58.1356305195237,715.728738960622
13,50.0,60.361294820737,711.277410358886
14,100.0,61.5858967052135,708.828206589901
