Temperature | Nmsa
0.01 | 767.0
0.1 | 766.907258081853
0.2 | 749.893147499847
0.3 | 683.762609009495
0.35 | 638.619761986694
0.39 | 599.413930622562
0.4 | 589.209191535476
0.5 | 479.013849527902
0.6 | 391.212994727292
0.7 | 341.69258321808
0.8 | 310.901143336183
0.9 | 289.694103294912
1.0 | 274.175450757876
1.1 | 262.365628756806
1.2 | 253.121635201467
1.3 | 245.725798672578
1.4 | 239.700942435401
1.5 | 234.716407555706
1.6 | 230.535810068312
1.7 | 226.986006175866
1.8 | 223.937686589026
1.9 | 221.292734392734
2.0 | 218.975707149711
