Temperature | Free_Energy
0.01 | -788.274214871572
0.1 | -691.749407928054
0.2 | -587.39248713393
0.3 | -501.199528230409
0.35 | -467.719684553287
0.39 | -445.286919842562
0.4 | -440.235197327137
0.5 | -400.259163505761
0.6 | -374.513887083517
0.7 | -356.575193935414
0.8 | -343.104818627607
0.9 | -332.516919137417
1.0 | -323.929976971618
1.1 | -316.801212458275
1.2 | -310.77417593817
1.3 | -305.603622776244
1.4 | -301.114512663406
1.5 | -297.178073160983
1.6 | -293.697114947448
1.7 | -290.596660831666
1.8 | -287.817765668302
1.9 | -285.313323212785
2.0 | -283.045148819903
