Temperature | Heat_capacity
0.01 | 1.29246970711411e-22
0.1 | 7.3631427312162
0.2 | 395.530609628538
0.3 | 785.42809541624
0.35 | 841.778488910981
0.39 | 844.224490946113
0.4 | 841.283424605668
0.5 | 715.220894728744
0.6 | 448.240902775579
0.7 | 303.890887956503
0.8 | 226.392490681588
0.9 | 177.715790074159
1.0 | 144.339172078978
1.1 | 120.208388534151
1.2 | 102.097039889417
1.3 | 88.0989317348699
1.4 | 77.0132707721384
1.5 | 68.0496330964789
1.6 | 60.6702960140153
1.7 | 54.4996350033049
1.8 | 49.2692971352461
1.9 | 44.7837094834028
2.0 | 40.8977113833325
