This file contains energy of the Grid at certain points in the simulation.
Energy | Step_Number
-2969 | 0
-2963 | 100
-2965 | 200
-2959 | 300
-2959 | 400
-2959 | 500
-2965 | 600
-2969 | 700
-2961 | 800
-2961 | 900
-2961 | 1000
-2961 | 1100
-2959 | 1200
-2961 | 1300
-2963 | 1400
-2965 | 1500
-2959 | 1600
-2959 | 1700
-2959 | 1800
-2959 | 1900
-2959 | 2000
-2965 | 2100
-2961 | 2200
-2961 | 2300
-2965 | 2400
-2965 | 2500
-2961 | 2600
-2959 | 2700
-2963 | 2800
-2959 | 2900
-2965 | 3000
-2961 | 3100
-2959 | 3200
-2961 | 3300
-2959 | 3400
-2961 | 3500
-2959 | 3600
-2965 | 3700
-2965 | 3800
-2963 | 3900
-2965 | 4000
-2961 | 4100
-2963 | 4200
-2963 | 4300
-2959 | 4400
-2959 | 4500
-2959 | 4600
-2959 | 4700
-2961 | 4800
-2961 | 4900
-2965 | 5000
-2963 | 5100
-2963 | 5200
-2965 | 5300
-2959 | 5400
-2965 | 5500
-2959 | 5600
-2963 | 5700
-2959 | 5800
-2965 | 5900
-2961 | 6000
-2965 | 6100
-2965 | 6200
-2959 | 6300
-2963 | 6400
-2963 | 6500
-2963 | 6600
-2965 | 6700
-2963 | 6800
-2965 | 6900
-2965 | 7000
-2961 | 7100
-2961 | 7200
-2965 | 7300
-2959 | 7400
-2961 | 7500
-2965 | 7600
-2959 | 7700
-2961 | 7800
-2965 | 7900
-2959 | 8000
-2961 | 8100
-2963 | 8200
-2959 | 8300
-2965 | 8400
-2963 | 8500
-2963 | 8600
-2959 | 8700
-2963 | 8800
-2963 | 8900
-2959 | 9000
-2963 | 9100
-2961 | 9200
-2961 | 9300
-2961 | 9400
-2965 | 9500
-2959 | 9600
-2963 | 9700
-2959 | 9800
-2963 | 9900
-2959 | 10000
-2965 | 10100
-2963 | 10200
-2963 | 10300
-2959 | 10400
-2963 | 10500
-2961 | 10600
-2965 | 10700
-2959 | 10800
-2963 | 10900
-2963 | 11000
-2959 | 11100
-2961 | 11200
-2959 | 11300
-2963 | 11400
-2961 | 11500
-2963 | 11600
-2961 | 11700
-2963 | 11800
-2963 | 11900
-2959 | 12000
-2963 | 12100
-2965 | 12200
-2963 | 12300
-2963 | 12400
-2969 | 12500
-2969 | 12600
-2965 | 12700
-2965 | 12800
-2961 | 12900
-2959 | 13000
-2959 | 13100
-2963 | 13200
-2959 | 13300
-2961 | 13400
-2959 | 13500
-2961 | 13600
-2965 | 13700
-2959 | 13800
-2959 | 13900
-2961 | 14000
-2959 | 14100
-2963 | 14200
-2965 | 14300
-2965 | 14400
-2965 | 14500
-2963 | 14600
-2963 | 14700
-2963 | 14800
-2965 | 14900
-2961 | 15000
-2959 | 15100
-2959 | 15200
-2963 | 15300
-2965 | 15400
-2963 | 15500
-2959 | 15600
-2961 | 15700
-2963 | 15800
-2959 | 15900
-2965 | 16000
-2961 | 16100
-2963 | 16200
-2961 | 16300
-2969 | 16400
-2963 | 16500
-2961 | 16600
-2963 | 16700
-2961 | 16800
-2963 | 16900
-2959 | 17000
-2965 | 17100
-2963 | 17200
-2961 | 17300
-2961 | 17400
-2963 | 17500
