% # columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst objective function value, further objective values of best", seed=42, Tue Apr 29 13:44:15 2025, <python>{}</python>
1 10 1.0601570479447258 1.0000416675347343 1.0001247848065138 1.0001247848065138e+00 1.003027865656069 1.0674570887102635   
2 20 1.0975598059851037 1.3057882041945317 1.0000423059120198 1.0000423059120198e+00 1.0012248073391279 1.3254705989328794   
3 30 1.1293840494247274 1.4360355266103417 1.0000033300838722 1.0000033300838722e+00 1.0017242803975503 1.0267573585918248   
4 40 1.3265977746701463 1.4163615828895415 1.0000003138932836 1.0000003138932836e+00 1.000038993491035 1.0087877417394044   
5 50 1.6398594977343033 1.7272688143870785 1.0000000003394125 1.0000000003394125e+00 1.000005311324614 1.0002219398904069   
6 60 1.9984044927380715 1.9840566944668119 1.0000000000127858 1.0000000000127858e+00 1.0000000088108587 1.0000349026224793   
7 70 2.323909585555757 2.186346403195791 1.000000000000012 1.0000000000000120e+00 1.000000000016822 1.0000002850458498   
8 80 2.7911607873115942 2.1661501419475044 1.0 1.0000000000000000e+00 1.0000000000007763 1.0000048470011966   
9 90 3.2645387333828166 2.617280285465782 1.0 1.0000000000000000e+00 1.0 1.0000000000219562   
10 100 3.6211637060633186 2.899278208041625 1.0 1.0000000000000000e+00 1.0 1.0000019810364786   
11 110 4.266426952226759 2.814189463463618 1.0 1.0000000000000000e+00 1.0 1.0000000786730656   
