% # columns="iter, evals, sigma, 0, fitness, xbest" seed=42, Tue Apr 29 13:44:15 2025, <python>{}</python>
1 10 1.0601570479447258 0 1.0001247848065138 -49.75803772843397 -1.91329618872627 -51.72494658138315 49.43769841339508 -2.3991548819344586 0.31426042650692
2 20 1.0975598059851037 0 1.0000423059120198 -49.934540082027844 -2.8092570239820396 -51.952859706272996 48.42677458206412 -2.488167844527996 -0.34665027769695383
3 30 1.1293840494247274 0 1.0000033300838722 -48.56753090841251 -1.373306811543069 -52.32940908577483 50.074936555804015 -3.816521172826211 -0.02968364934986034
4 40 1.3265977746701463 0 1.0000003138932836 -47.72640490085801 -3.1879250956279566 -52.43100112531381 51.01901508781861 -4.075367938716065 -0.4217858596802891
5 50 1.6398594977343033 0 1.0000000003394125 -49.146185412131246 -3.8243920533590763 -55.43648670993884 52.88819844544167 -6.153456634582662 -0.12104394252802907
6 60 1.9984044927380715 0 1.0000000000127858 -48.65212964944098 -3.990329610363734 -57.48531524844155 52.4774893685294 -7.196390542953542 -1.4799132285468148
7 70 2.323909585555757 0 1.000000000000012 -53.41663089126767 -2.830614754996249 -57.2192268096471 52.52382676014856 -9.899931006524511 -1.2698924826479567
8 80 2.7911607873115942 0 1.0 -44.97944050492721 -6.50837216977346 -61.05904531959782 51.186026100324504 -10.252843465129963 0.5340992495193616
9 90 3.2645387333828166 0 1.0 -49.918161269699816 -7.940303242182546 -64.88493967305637 54.84194346891298 -14.008363099165843 -5.21811745069118
10 100 3.6211637060633186 0 1.0 -55.17549399632047 4.293309042413192 -58.226669308307656 53.798890308714334 -14.326032727990473 0.2770952786289169
11 110 4.266426952226759 0 1.0 -51.32859550042846 -3.581469821693835 -70.40880593516415 50.036883623026156 -21.071829608381098 -1.0114401642037931
