% # columns="iteration, evaluation, void, void, void, xmean", seed=42, Tue Apr 29 13:44:15 2025, <python>{}</python> # scaling_of_variables: 1, typical_x: 0
1 10 0 0 0 -49.854451374354554 -1.338429270903599 -51.02402590126041 49.65260819525058 -2.1802480872293284 0.3399097726463907
2 20 0 0 0 -49.711852740608535 -2.065851521336413 -51.189102298916495 49.21653303632941 -2.47222179872283 0.3012280998392669
3 30 0 0 0 -49.09177390576022 -1.941975478099313 -51.90885236826253 49.75845379381859 -3.14995221387358 0.4199963908188981
4 40 0 0 0 -47.92429660277004 -3.2122907022463556 -52.070211413790084 50.02573754356578 -3.8510512970140973 -0.03256525295587398
5 50 0 0 0 -48.33415543852406 -3.20145702640937 -54.102103691272525 51.27817018159718 -5.180802272839157 -0.08668950213199864
6 60 0 0 0 -48.215545695376306 -3.4610323384433626 -55.70092688862215 51.66154180072078 -6.745615727622157 -1.0286557184543634
7 70 0 0 0 -49.02791526178704 -3.739438925023905 -56.15252097083724 52.40275989690443 -8.627998332909094 -0.905984661602368
8 80 0 0 0 -47.94014337475308 -5.541491556175044 -60.335855848862344 52.942479755905396 -10.04422522238273 -0.27091855365117967
9 90 0 0 0 -49.36705923983516 -4.366239564276233 -62.62936461717807 54.04617124644172 -13.099497153128224 -2.7552097089345158
10 100 0 0 0 -52.37506937519298 -0.4339769173822625 -59.540671035469394 53.19287647693555 -13.718420398407442 -1.2898406130156577
11 110 0 0 0 -49.77953960277412 -2.3333720469526735 -66.27895466080365 51.162879909553986 -17.94478707549147 -0.2178983479476273
