% # columns="iteration, evaluation, sigma, void, void,  stds==sigma*sigma_vec.scaling*sqrt(diag(C))", seed=42, Tue Apr 29 13:44:15 2025, <python>{}</python>
1 10 1.0601570479447258 0 0 1.0344036354667443 1.0967067962479877 1.109185645129199 1.026734672806301 1.08601909137354 1.0280229525057667
2 20 1.0975598059851037 0 0 1.0580502413463493 1.1968041945338452 1.1788260752307664 1.067162409472581 1.001778665095662 1.0277194505672351
3 30 1.1293840494247274 0 0 1.1094410437861353 1.1912319364950401 1.2005328343556356 1.0567524702014102 1.025726191023369 1.0526020324524903
4 40 1.3265977746701463 0 0 1.423893178149474 1.4975624531174425 1.4074755114289503 1.2479457038321182 1.22942412116782 1.1891675486631046
5 50 1.6398594977343033 0 0 1.8088193990168824 1.7938759929959742 1.8625416415483838 1.6245458115202085 1.5729145027468863 1.4765465500720267
6 60 1.9984044927380715 0 0 2.0685401323340487 1.9920150350147328 2.4346335837305553 1.9331287492019957 2.03547593414811 1.8270206644487401
7 70 2.323909585555757 0 0 2.4738972982916927 2.3006333620044 2.8834717885390426 2.1008194406383067 2.5950507948750365 2.0130343451950794
8 80 2.7911607873115942 0 0 2.8892383479992243 2.823444859502257 4.06171377220361 2.565449875518521 3.124235009354139 2.3793387250575626
9 90 3.2645387333828166 0 0 3.090456594931294 3.19493701476364 5.055327839778267 3.0350235987043837 4.06823073038239 2.9990853444272227
10 100 3.6211637060633186 0 0 3.617841041441163 3.9500909578656542 5.4395360264698835 3.3325758704156474 4.209428757741178 3.297135344336837
11 110 4.266426952226759 0 0 4.258895875098643 4.452524020172479 7.0163704681512185 3.835918038222927 5.332346653750119 3.983394008331925
