Temperature | Heat_capacity
0.01 | 96.1594331992158
0.1 | 248.58334179235
0.2 | 32.2817934878397
0.3 | 36.5042022989917
0.35 | 38.9997829780169
0.39 | 38.2821313015684
0.4 | 37.8778871788264
0.5 | 31.9074138570196
0.6 | 25.6850944416835
0.7 | 20.6787246791397
0.8 | 16.8994151559109
0.9 | 14.0716430767342
1.0 | 11.9335841077297
1.1 | 10.2889548311533
1.2 | 8.99969572133798
1.3 | 7.97006537371534
1.4 | 7.13336819418176
1.5 | 6.44257333454374
1.6 | 5.86400869959466
1.7 | 5.37317501743134
1.8 | 4.95195933340434
1.9 | 4.58676196043903
2.0 | 4.26722122470892
