Temperature | Energy
0.01 | -373.11987627434
0.1 | -365.076667776603
0.2 | -339.866166998567
0.3 | -336.729599504893
0.35 | -334.822361787021
0.39 | -333.271033382065
0.4 | -332.890177501235
0.5 | -329.383689012699
0.6 | -326.511943817043
0.7 | -324.204824315068
0.8 | -322.335072407164
0.9 | -320.793264168587
1.0 | -319.497831781479
1.1 | -318.390164921053
1.2 | -317.428241669673
1.3 | -316.581603216416
1.4 | -315.827818933393
1.5 | -315.150080735194
1.6 | -314.535573270792
1.7 | -313.974361608664
1.8 | -313.458622605242
1.9 | -312.982106011915
2.0 | -312.539750910704
