% # columns="iter, evals, sigma, 0, fitness, xbest" seed=155112, Wed May 29 16:48:44 2024, <python>{}</python>
1 10 0.00965882411400597 0 123.32831957242615 26.023005194935493 -1.0541256493109572 -241.092660425902 -64.35700192176441 -259.75286255791957 -258.71261553614175 -0.08632923555989232 -0.00738615044989166 250.07967706684155 2.540206928616305
2 20 0.00931086281944615 0 106.20189979266905 26.001451701152007 -1.0535350734715498 -241.10362179629786 -64.34734936977335 -259.7781832479925 -258.70381226821496 -0.07781105351240289 -0.011158391016192063 250.07662009419033 2.536680280736769
3 30 0.009998327284771024 0 153.1551446807116 26.02489712446539 -1.052450740142808 -241.10271698664093 -64.34272502610014 -259.77552127939475 -258.7134184516358 -0.11889834346004385 0.010369481602098 250.0585310883068 2.528160505850021
4 40 0.01109788379448463 0 122.24321812678481 25.996476646513422 -1.053815670262206 -241.1168450165266 -64.34646928178836 -259.7928681655938 -258.7202259432487 -0.11789619462334813 -0.004489727021480041 250.06818569135223 2.5369821749989145
5 50 0.011069135412821894 0 257.07368465157884 26.0155229701933 -1.0554794162718755 -241.08856378178888 -64.34329901004283 -259.78846291605703 -258.7200925751274 -0.12632825985974014 -0.003298495987459111 250.0636399461075 2.5332558574061594
6 60 0.010511560394159404 0 284.68256927284114 26.01631182084503 -1.0567361205670713 -241.08224675423136 -64.36630663822098 -259.778253118962 -258.7251107543038 -0.10135804697817437 -0.00288732799266547 250.07861593486652 2.517560777195596
7 70 0.010386705108304738 0 122.20993237266508 25.997604732713125 -1.054305242674542 -241.08329428549771 -64.34885724397766 -259.77980547096604 -258.7244936099255 -0.07597998761820327 -0.002658763554313121 250.0893841738325 2.523250498840682
8 80 0.011335634972738047 0 137.78586031172307 25.988847392848676 -1.0539897702259422 -241.07202625581138 -64.36165236197333 -259.8073608831318 -258.715960752134 -0.08339058253051984 -0.005830336464269328 250.09215647194418 2.540451074330171
9 90 0.010623454572205263 0 146.07154688565285 26.012793008268453 -1.05222522161096 -241.08062714800508 -64.35411159691033 -259.77592544080596 -258.72347014298646 -0.08161014834009961 -0.015135174580572196 250.09526387368015 2.5251559710409723
10 100 0.010579170698335569 0 117.51476669258598 26.022209582142995 -1.053946633880431 -241.078397600803 -64.35104031818919 -259.78667877692027 -258.71016268222974 -0.06017898020668583 -0.02110660010302011 250.0815622569058 2.528011100852982
