% # columns="iteration, evaluation, void, void, void, xmean", seed=155112, Wed May 29 16:48:44 2024, <python>{}</python> # scaling_of_variables: 1, typical_x: 0
1 10 0 0 0 26.016279264440488 -1.0523916731530822 -241.09477140773583 -64.35468483826362 -259.7692223434679 -258.7165406207141 -0.08169131997599746 -0.007722127869381968 250.07473455457088 2.539408325598053
2 20 0 0 0 26.008232143973917 -1.0534574678892261 -241.09918053101345 -64.35191902691696 -259.77764988613626 -258.7089160876532 -0.08622143975395592 -0.009307773037122522 250.07364110441335 2.540826538915808
3 30 0 0 0 26.011936652411258 -1.0524586454181042 -241.0942119403595 -64.34629061667808 -259.7728243732525 -258.714620773625 -0.10048195022772854 0.0027823336715066226 250.06890095449785 2.538328843613848
4 40 0 0 0 26.006712912667933 -1.0540223482986681 -241.10316353313178 -64.34810668590688 -259.78352610738796 -258.7188197148528 -0.1141189970437447 0.0008392432757683903 250.06370698813566 2.537694682914269
5 50 0 0 0 26.00798715466712 -1.0534073114726614 -241.09453692458936 -64.34688027018021 -259.7857985264507 -258.7221046960724 -0.11433661591399408 -0.004493178303986871 250.06639120260368 2.5375631737026287
6 60 0 0 0 26.008160159590922 -1.056404623922404 -241.08904712398044 -64.35949399250062 -259.7769469854603 -258.7249037651256 -0.10611835156735927 -0.000693660472161543 250.07091428690856 2.530654348499575
7 70 0 0 0 26.000076934373862 -1.0547171273337719 -241.09276043145326 -64.35545216049387 -259.7740927551126 -258.7201688395964 -0.08474815065444782 -0.0010329815915950367 250.08237564882847 2.525326063593819
8 80 0 0 0 25.992110088418034 -1.0533949227440902 -241.07567896236324 -64.36082009750183 -259.7967411186019 -258.71759525890116 -0.08225840405200167 -0.005982627997019383 250.08264442877913 2.532594560440446
9 90 0 0 0 26.003379453666795 -1.0519143901235806 -241.07797680412273 -64.35612142274248 -259.7807197033127 -258.71721661739264 -0.07975464920592874 -0.01059173797569475 250.0892839063967 2.5326430597009786
10 100 0 0 0 26.006899871303062 -1.053804571821457 -241.071771988578 -64.35008322886254 -259.7882510123711 -258.71223878546584 -0.07020325444586625 -0.014178702199591253 250.08375467537974 2.5282960589787913
